x1,y1,y2,d1y1dx1,d1y2dx1,d2y1dx1,d2y2dx1
0.114743162108072,-1.65910347694279,-3.81163840254182,-2.83913488869598,-5.5640301845165,5.96417332814085,12.9151806630311
0.120080053368913,-1.67417048478447,-3.84114868611731,-2.80718720402719,-5.49487150822318,6.00812688745015,13.0018345556832
0.125416944629753,-1.68906636805463,-3.8702886489707,-2.77500646208962,-5.42525355773051,6.05151092988678,13.0872924497733
0.130753835890594,-1.70378989107986,-3.89905585707261,-2.74259571204886,-5.35518273538471,6.09432182306536,13.1715470805306
0.136090727151434,-1.71833983451132,-3.92744791066522,-2.70995802231695,-5.28466548202491,6.13655598681911,13.2545912876216
0.141427618412274,-1.7327149954267,-3.95546244446627,-2.67709648027285,-5.21370827642406,6.17820989350584,13.3364180157619
0.146764509673115,-1.74691418743065,-3.98309712786997,-2.64401419198137,-5.14231763472679,6.21928006830929,13.417020315319
0.152101400933955,-1.76093624075381,-4.01034966514496,-2.61071428191039,-5.07050010988391,6.2597630895361,13.4963913429061
0.157438292194796,-1.77478000235024,-4.0372177956292,-2.57719989264658,-4.99826229108378,6.29965558890816,13.5745243619671
0.162775183455636,-1.78844433599334,-4.06369929392188,-2.54347418460958,-4.92561080318073,6.33895425185042,13.6514127433518
0.168112074716477,-1.8019281223703,-4.08979197007221,-2.50954033576461,-4.85255230612022,6.37765581777412,13.7270499658828
0.173448965977318,-1.81523025917491,-4.11549366976514,-2.47540154133364,-4.77909349436122,6.41575708035538,13.8014296169122
0.178785857238158,-1.82834966119893,-4.14080227450405,-2.44106101350502,-4.70524109629546,6.45325488780917,13.87454539287
0.184122748498999,-1.84128526042187,-4.16571570179025,-2.40652198114167,-4.63100187366383,6.49014614315864,13.9463910998024
0.189459639759839,-1.85403600609913,-4.19023190529942,-2.37178768948794,-4.55638262097006,6.52642780449971,14.0169606539015
0.19479653102068,-1.86660086484872,-4.21434887505489,-2.33686139987493,-4.48139016489136,6.56209688526106,14.0862480820244
0.200133422281521,-1.87897882073626,-4.23806463759774,-2.30174638942453,-4.40603136368656,6.59715045445921,14.1542475222043
0.205470313542361,-1.89116887535851,-4.2613772561538,-2.26644595075209,-4.33031310660138,6.63158563694909,14.220953224151
0.210807204803202,-1.90317004792524,-4.28428483079742,-2.23096339166772,-4.25424231327109,6.6653996136696,14.2863595497423
0.216144096064042,-1.9149813753395,-4.30678549861203,-2.19530203487639,-4.17782593312066,6.69858962188456,14.3504609735058
0.221480987324883,-1.92660191227636,-4.32887743384756,-2.15946521767665,-4.10107094476219,6.73115295541877,14.4132520830911
0.226817878585724,-1.93803073125994,-4.35055884807457,-2.12345629165816,-4.02398435539007,6.7630869648892,14.4747275797323
0.232154769846564,-1.94926692273889,-4.37182799033515,-2.08727862239802,-3.94657320017352,6.7943890579314,14.5348822787003
0.237491661107405,-1.96030959516024,-4.39268314729065,-2.05093558915583,-3.86884454164678,6.82505669942105,14.5937111097465
0.242828552368245,-1.97115787504159,-4.41312264336603,-2.01443058456767,-3.79080546909703,6.85508741169048,14.6512091175357
0.248165443629086,-1.98181090704166,-4.43314484089106,-1.97776701433885,-3.71246309794991,6.88447877474046,14.7073714620693
0.253502334889927,-1.99226785402926,-4.45274814023812,-1.94094829693562,-3.63382456915298,6.91322842644698,14.7621934190993
0.258839226150767,-2.00252789715053,-4.47193097995677,-1.90397786327575,-3.55489704855679,6.941334062763,14.8156703805317
0.264176117411608,-2.01259023589461,-4.49069183690502,-1.86685915641801,-3.47568772629392,6.96879343791544,14.8677978548202
0.269513008672448,-2.02245408815754,-4.50902922637726,-1.82959563125072,-3.39620381615607,6.99560436459698,14.9185714673503
0.274849899933288,-2.03211869030462,-4.52694170222882,-1.79219075417919,-3.31645255496885,7.02176471415302,14.9679869608127
0.280186791194129,-2.041583297231,-4.54442785699727,-1.7546480028122,-3.23644120196485,7.04727241676353,15.0160401955674
0.285523682454969,-2.05084718242065,-4.56148632202029,-1.71697086564754,-3.15617703815473,7.07212546161992,15.0627271499972
0.29086057371581,-2.05990963800363,-4.57811576755025,-1.67916284175663,-3.07566736569632,7.09632189709687,15.1080439208514
0.29619746497665,-2.06876997481169,-4.59431490286536,-1.64122744046819,-2.99491950726212,7.11985983091904,15.1519867235795
0.301534356237491,-2.07742752243211,-4.61008247637748,-1.60316818105108,-2.91394080540485,7.14273743032285,15.1945518926541
0.306871247498332,-2.08588162926,-4.62541727573649,-1.56498859239626,-2.83273862192149,7.16495292221299,15.2357358818848
0.312208138759172,-2.0941316625487,-4.64031812793133,-1.52669221269798,-2.75132033721554,7.18650459331396,15.2755352647205
0.317545030020013,-2.10217700845864,-4.65478389938757,-1.48828258913403,-2.66969334965767,7.20739079031651,15.3139467345426
0.322881921280853,-2.1100170721044,-4.66881349606161,-1.44976327754549,-2.58786507494501,7.22760992001882,15.3509671049476
0.328218812541694,-2.11765127760013,-4.68240586353142,-1.41113784211541,-2.50584294545873,7.24716044946271,15.3865933100191
0.333555703802535,-2.12507906810316,-4.69555998708387,-1.37240985504708,-2.42363440962042,7.26604090606459,15.42082240459
0.338892595063375,-2.13229990585595,-4.70827489179862,-1.33358289624138,-2.3412469312469,7.28424987774129,15.4536515644938
0.344229486324216,-2.13931327222635,-4.72054964262853,-1.29466055297363,-2.25868798890381,7.30178601303072,15.4850780868064
0.349566377585056,-2.14611866774606,-4.73238334447671,-1.25564641956975,-2.17596507525804,7.31864802120735,15.5150993900768
0.354903268845897,-2.1527156121474,-4.74377514226996,-1.21654409708176,-2.09308569642866,7.33483467239252,15.5437130145475
0.360240160106738,-2.15910364439833,-4.75472422102891,-1.17735719296285,-2.01005737133708,7.35034479765948,15.5709166223652
0.365577051367578,-2.16528232273576,-4.76522980593454,-1.13808932074175,-1.92688763105581,7.36517728913331,15.59670799778
0.370913942628419,-2.1712512246971,-4.77529116239134,-1.09874409969669,-1.84358401815632,7.37933110008557,15.621085047335
0.376250833889259,-2.17700994715006,-4.7849075960869,-1.0593251545288,-1.7601540860559,7.39280524502374,15.6440458000451
