x1,y1
240.6203102,0.095913241
241.1205603,0.095014888
241.6208104,0.094122362
242.1210605,0.093235659
242.6213107,0.092354777
243.1215608,0.091479714
243.6218109,0.090610465
244.122061,0.089747027
244.6223112,0.088889396
245.1225613,0.088037567
245.6228114,0.087191534
246.1230615,0.086351294
246.6233117,0.085516839
247.1235618,0.084688164
247.6238119,0.083865262
248.124062,0.083048126
248.6243122,0.082236749
249.1245623,0.081431124
249.6248124,0.080631241
250.1250625,0.079837093
250.6253127,0.07904867
251.1255628,0.078265964
251.6258129,0.077488965
252.126063,0.076717662
252.6263132,0.075952046
253.1265633,0.075192105
253.6268134,0.074437829
254.1270635,0.073689205
254.6273137,0.072946221
255.1275638,0.072208866
255.6278139,0.071477127
256.128064,0.070750989
256.6283142,0.070030441
257.1285643,0.069315467
257.6288144,0.068606054
258.1290645,0.067902187
258.6293147,0.06720385
259.1295648,0.066511028
259.6298149,0.065823706
260.130065,0.065141867
260.6303152,0.064465495
261.1305653,0.063794572
261.6308154,0.06312908
262.1310655,0.062469003
262.6313157,0.061814322
263.1315658,0.061165018
263.6318159,0.060521072
264.132066,0.059882466
264.6323162,0.059249178
265.1325663,0.05862119
265.6328164,0.057998479
266.1330665,0.057381027
266.6333167,0.056768811
267.1335668,0.056161809
267.6338169,0.05556
268.134067,0.05496336
268.6343172,0.054371868
269.1345673,0.053785499
269.6348174,0.053204231
270.1350675,0.052628039
270.6353177,0.052056898
271.1355678,0.051490784
271.6358179,0.050929672
272.136068,0.050373536
272.6363182,0.04982235
273.1365683,0.049276088
273.6368184,0.048734723
274.1370685,0.048198227
274.6373187,0.047666574
275.1375688,0.047139735
275.6378189,0.046617682
276.138069,0.046100386
276.6383192,0.045587818
277.1385693,0.045079949
277.6388194,0.044576749
278.1390695,0.044078188
278.6393197,0.043584234
279.1395698,0.043094858
279.6398199,0.042610027
280.14007,0.042129709
280.6403202,0.041653868
281.1405703,0.04118245
281.6408204,0.040715432
282.1410705,0.040252792
282.6413207,0.039794508
283.1415708,0.039340557
283.6418209,0.038890917
284.142071,0.038445566
284.6423212,0.038004483
285.1425713,0.037567643
285.6428214,0.037135024
286.1430715,0.036706604
286.6433217,0.036282359
287.1435718,0.035862267
287.6438219,0.035446304
288.144072,0.035034447
288.6443222,0.034626673
289.1445723,0.034222957
289.6448224,0.033823276
290.1450725,0.033427607
290.6453227,0.033035925
291.1455728,0.032648206
291.6458229,0.032264426
292.146073,0.031884561
292.6463232,0.031508586
293.1465733,0.031136477
293.6468234,0.030768208
294.1470735,0.030403756
294.6473237,0.030043094
295.1475738,0.029686199
295.6478239,0.029333044
296.148074,0.028983605
296.6483242,0.028637855
297.1485743,0.02829577
297.6488244,0.027957323
298.1490745,0.027622489
298.6493247,0.027291242
299.1495748,0.026963556
299.6498249,0.026639404
300.150075,0.026318759
300.6503252,0.026001597
301.1505753,0.025687889
301.6508254,0.02537761
302.1510755,0.025070732
302.6513257,0.024767228
303.1515758,0.024467071
303.6518259,0.024170235
304.152076,0.023876691
304.6523262,0.023586412
305.1525763,0.023299371
305.6528264,0.02301554
306.1530765,0.02273489
306.6533267,0.022457394
307.1535768,0.022183025
307.6538269,0.021911752
308.154077,0.021643549
308.6543272,0.021378387
309.1545773,0.021116236
309.6548274,0.020857069
310.1550775,0.020600857
310.6553277,0.020347569
311.1555778,0.020097178
311.6558279,0.019849654
312.156078,0.019604968
312.6563282,0.01936309
313.1565783,0.01912399
313.6568284,0.018887639
314.1570785,0.018654007
314.6573287,0.018423064
315.1575788,0.01819478
315.6578289,0.017969124
316.158079,0.017746066
316.6583292,0.017525576
317.1585793,0.017307623
317.6588294,0.017092175
318.1590795,0.016879203
318.6593297,0.016668676
319.1595798,0.016460561
319.6598299,0.016254828
320.16008,0.016051446
320.6603302,0.015850383
321.1605803,0.015651607
321.6608304,0.015455086
322.1610805,0.015260789
322.6613307,0.015068686
323.1615808,0.014878786
323.6618309,0.014691081
324.162081,0.014505553
324.6623312,0.014322182
325.1625813,0.01414095
325.6628314,0.013961839
326.1630815,0.013784829
326.6633317,0.013609903
327.1635818,0.013437041
327.6638319,0.013266226
328.164082,0.013097438
328.6643322,0.012930659
329.1645823,0.012765871
329.6648324,0.012603056
330.1650825,0.012442195
330.6653327,0.012283269
331.1655828,0.012126261
331.6658329,0.011971152
332.166083,0.011817925
332.6663332,0.01166656
333.1665833,0.01151704
333.6668334,0.011369346
334.1670835,0.011223461
334.6673337,0.011079366
335.1675838,0.010937044
335.6678339,0.010796476
336.168084,0.010657644
336.6683342,0.010520531
337.1685843,0.010385119
337.6688344,0.01025139
338.1690845,0.010119325
338.6693347,0.009988908
339.1695848,0.00986012
339.6698349,0.009732943
340.170085,0.009607361
340.6703352,0.009483355
341.1705853,0.009360907
341.6708354,0.009240001
342.1710855,0.009120618
342.6713357,0.009002741
343.1715858,0.008886352
343.6718359,0.008771435
344.172086,0.008657971
344.6723362,0.008545943
345.1725863,0.008435333
345.6728364,0.008326126
346.1730865,0.008218302
346.6733367,0.008111845
347.1735868,0.008006738
347.6738369,0.007902963
348.174087,0.007800503
348.6743372,0.007699341
349.1745873,0.00759946
349.6748374,0.007500843
350.1750875,0.007403473
350.6753377,0.007307333
351.1755878,0.007212405
351.6758379,0.007118673
352.176088,0.00702612
352.6763382,0.006934729
353.1765883,0.006844483
353.6768384,0.006755366
354.1770885,0.00666736
354.6773387,0.006580449
355.1775888,0.006494615
355.6778389,0.006409844
356.178089,0.006326117
356.6783392,0.006243418
357.1785893,0.00616173
357.6788394,0.006081039
358.1790895,0.006001349
358.6793397,0.005922657
359.1795898,0.005844954
359.6798399,0.005768228
360.18009,0.00569247
360.6803402,0.005617671
